day_of_year,seasonal_temp,temperature,seasonal_heat_demand,heat_demand
1,1.5426493006298163,5.627538810442335,336.5307385663141,270.25885218804547
2,1.5087727660205155,4.383856573699257,337.08034017662055,290.43593841917124
3,1.4773407550605664,-2.192582026447188,337.59028264972164,397.12988708917294
4,1.448353562430149,3.2046446830106072,338.0605612048241,309.5670792365414
5,1.4218109288181833,1.673364627649152,338.49118004890465,334.4100566532992
6,1.3977120406813068,2.153398578866434,338.8821523806197,326.6221457694518
7,1.3760555301213448,4.103851803073513,339.2335003922934,294.97864252406976
8,1.3568394749099388,1.2982149910461578,339.5452552695183,340.4963593628536
9,1.3400613986886274,-0.7668577141512012,339.817457187909,373.99941087818934
10,1.3257182713719922,-0.0019893668744794812,340.0501553065616,361.5904416555718
11,1.3138065097807146,1.7310029371640836,340.24340775778353,333.47495192401993
12,1.3043219785305857,4.741492798434708,340.39728163267046,284.63376746852816
13,1.2972599912025378,7.553370679024226,340.5118529621237,239.0147976128299
14,1.2926153118176835,8.667943492084143,340.5872066929204,220.9323396540578
15,1.2903821566402076,9.290157984923368,340.6234366584632,210.8377390355344
16,1.2905541963297034,4.7218639228512895,340.6206455438621,284.95221980592254
17,1.2931245584631674,2.959065501518441,340.5789448450181,313.551274053469
18,1.2980858304454226,6.6864336959793995,340.4984548214054,253.07969437428545
19,1.3054300628252695,9.41314299729026,340.37930444227186,208.8424711718064
20,1.3151487730330365,5.985001689988468,340.22163132600144,264.4594935319977
21,1.3272329495534345,3.3647080288224114,340.0255816724158,306.97026484499315
22,1.3416730565461135,1.9061379281279227,339.7913101878113,330.6336201831897
23,1.3584590389242222,1.2808517795285308,339.518980002567,340.77805432133266
24,1.3775803278997072,1.9316731365397486,339.2087625811789,330.219345469896
25,1.3990258470019337,4.8206013819868305,338.860837624616,283.35033616686917
26,1.4227840185744702,5.286365058064407,338.4753929649188,275.79394147222916
27,1.4488427707527447,6.38674528395425,338.0526244519958,257.94173931892976
28,1.477189544923383,3.801685108608483,337.5927358326061,299.88089429728916
29,1.507811303663913,2.915713088495406,337.09593862154804,314.2546091579278
30,1.540694539159552,4.816583264660956,336.56245196510804,283.41552476358277
31,1.5758252820917051,2.646745725028828,335.99250249685656,318.61824604658807
32,1.6131891109907046,2.3715865046122944,335.3863241859125,323.08233755936305
33,1.6527711620433614,0.8698313925175142,334.74415817782847,347.44631213386674
34,1.694556139343754,0.7907389445594071,334.06625262828584,348.72948165702473
35,1.738528325573761,1.1242342542735062,333.3528625298171,343.3189648682676
36,1.7846715930977373,1.7172171403260357,332.6042495318094,333.6986080986828
37,1.8329694154539034,-2.194671343144127,331.8206817540722,397.1637834671325
38,1.8834048792229416,1.6783911133618323,331.0024335942853,334.3285086238525
39,1.9359606962525846,4.3262723436599195,330.1497855296708,291.37016578105704
40,1.990619216215005,5.084759149017828,329.2630239132667,279.0647285682884
41,2.0473624394721246,4.152772499460397,328.3424407652037,294.1849694455914
42,2.1061720302223117,7.377534532501877,327.38833355941847,241.86750466782604
43,2.1670293299001635,8.19252728066343,326.4010050062591,228.645333866013
44,2.2299153707996706,9.284180966191798,325.38076283146825,210.9347081959751
45,2.2948108898895048,7.182317052871772,324.3279195520481,245.03464801356907
46,2.361696342787817,6.485984187877395,323.2427922495376,256.3317204067167
47,2.4305519178626414,6.040546222774665,322.12570234125303,263.5583575387478
48,2.5013575504228216,8.997969510741708,320.9769753500584,215.57810748748196
49,2.5740929369632917,7.611452029404731,319.7969406732549,238.0725051361627
50,2.6487375494275667,9.85238500805096,318.58593135119145,201.71635513861378
51,2.7252706494493797,7.958259603446026,317.3442838362125,232.44601460642434
52,2.8036713025348012,10.378490352086882,316.0723377625725,193.18099732803037
53,2.88391839214533,9.302662666535692,314.7704357179565,210.6348672474438
54,2.9659906336421273,9.037665095573523,313.43892301725293,214.9340995451928
55,3.0498665880510822,9.880109346671098,312.0781474792351,201.2665647062085
56,3.135524675608143,5.988751643166112,310.6884592068044,264.3986555410763
57,3.222943189044239,7.280567937282345,309.270210371462,243.44065840073355
58,3.312100306569144,6.948143610292062,307.82375500266164,248.83379992261612
59,3.4029741045136848,9.523168295392985,306.34944878270744,207.0574573943019
60,3.495542569590044,11.668708812956464,304.84764884784636,172.24892290190522
61,3.5897836107302674,7.906080985942255,303.31871359620436,233.29254311160875
62,3.6856750704636103,7.495601128821169,301.76300250320446,239.95203154730578
63,3.783194735794041,5.166778402467182,300.18087594509313,277.7340755280118
64,3.8823203485400044,1.6781573645793357,298.57269503119164,334.3323008862179
65,3.9830296150994737,4.149641068981904,296.9388214454715,294.2357727303249
66,4.085300215604372,2.2607465422391004,295.27961729803565,324.8805681785567
67,4.189109812429646,-0.22723429325521582,293.59544498707055,365.24474029266526
68,4.294436058023573,0.10977433643151269,291.88666707180914,359.7772245712621
69,4.40125660202727,-2.3903499079083916,290.15364615702737,400.3384073044649
70,4.509549097653044,-0.7390589696836996,288.39674478956306,373.54841331010743
71,4.619291207292745,2.0421146452782475,286.6163253673281,328.4275792297125
72,4.730460607329147,1.5342544215098788,284.81275006125065,336.6669342880979
73,4.8430349921253075,0.10568544856761264,282.9863807505525,359.8435613256049
74,4.956992077168715,4.7298782648715685,281.1375789717396,284.82219779125387
75,5.072309601349265,4.04409169643067,279.2667058816453,295.9481705829987
76,5.188965328352256,1.61161050965609,277.37412223483045,335.41193488799695
77,5.3069370471497725,2.149074027021674,275.46018837561166,326.69230585770003
78,5.4262025715763595,5.500863549961009,273.525264244945,272.3139894076422
79,5.546739738977152,2.0883405716756114,271.56970940235874,327.67762520168367
80,5.668526407919275,5.094691090888308,269.5938830630826,278.903596052568
81,5.791540454959809,8.657522412496313,267.5981441504834,221.10140777713056
82,5.915759770466251,4.29171375487379,265.5828513638721,291.9308328110773
83,6.041162253488191,8.1401606882386,263.5483632617045,229.49491201368602
84,6.167725805681472,9.12185076873867,261.49503836015333,213.5682992332684
85,6.295428324289026,7.070659275217374,259.4232352469849,246.8461465954002
86,6.424247694185312,3.4477445423301085,257.33331271062764,305.62310811646705
87,6.554161778994024,3.0407934794987894,255.22562988427504,312.2253465693526
88,6.685148411291714,6.219386146489768,253.1005464048193,260.6569182033937
89,6.817185381912694,0.01878139592728978,250.95842258636478,361.2534637204079
90,6.950250428373445,3.076857745391756,248.79961960802655,311.6402519356219
91,7.084321222437624,5.262729118707098,246.62449971567153,276.17740307719265
92,7.219375356845522,5.349753807172772,244.4334264372155,274.7655435269533
